,count,mean,std,min,25%,50%,75%,max
TAD,20.0,284.15,110.48280409185858,111.0,192.75,283.5,364.0,524.0
netD,20.0,924.15,471.9098124140158,-8.0,629.25,915.0,1114.0,2241.0
SR,20.0,110.45,77.50753783376577,0.0,71.0,91.5,138.0,291.0
AR,20.0,67.3,90.19808610409706,0.0,0.0,0.0,131.5,278.0
AH,20.0,78.4,62.460429578717225,0.0,35.5,69.5,110.5,233.0
IR,18.0,12.444444444444445,17.657600337339233,0.0,0.0,1.0,26.0,50.0
TD,17.0,748.2352941176471,223.10970659402201,360.0,570.0,710.0,870.0,1220.0
band_a,20.0,55804.0,2160.7878680070185,53470.0,53850.0,55410.0,57022.5,60840.0
band_b,20.0,40196.5,1751.2259615540916,37740.0,38662.5,40005.0,41502.5,43270.0
band_c,20.0,22222.0,1274.2039826784737,20510.0,21162.5,22120.0,23127.5,24530.0
band_d,20.0,8817.0,702.2452712924677,7930.0,8292.5,8655.0,9207.5,10280.0
band_e,20.0,4349.5,295.16231038817307,3930.0,4137.5,4250.0,4607.5,4890.0
band_f,20.0,2231.0,132.18408216932693,2030.0,2127.5,2210.0,2332.5,2490.0
band_g,20.0,1339.0,86.80892508080152,1140.0,1307.5,1370.0,1392.5,1450.0
band_h,20.0,167.5,6.386663736585051,160.0,160.0,170.0,170.0,180.0
band_i,0.0,,,,,,,
all_properties,20.0,135121.0,6346.929551904772,127200.0,129615.0,134180.0,139362.5,147930.0
Demolition,20.0,24.8,41.90791911095713,0.0,0.0,0.0,31.5,167.0
LCHO Sales,20.0,10.9,12.68608852662093,0.0,0.0,5.0,20.5,36.0
Other Sales,20.0,10.85,14.019816801866376,0.0,0.0,0.5,19.25,43.0
Other sales to sitting tenants,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Right to Buy,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sales to sitting tenants,20.0,36.95,46.300477433027794,0.0,0.0,10.5,75.75,163.0
total,20.0,83.5,92.79660837722352,0.0,0.0,53.0,149.75,283.0
SH,20.0,177.75,69.47311104229273,76.0,125.0,161.0,232.75,303.0
netS,20.0,94.25,95.76059787440322,-99.0,55.75,95.5,138.0,291.0
SR/TAD,20.0,41.204198179440205,26.036415254081923,0.0,21.408547551042,44.862220147698665,58.04194793178138,88.28828828828829
AR/TAD,20.0,22.93036901176152,30.25529375301744,0.0,0.0,0.0,38.39493710203448,94.47852760736197
netS/TAD,20.0,33.83645130376975,35.45564025171983,-49.74874371859296,14.767587658412072,38.43161343161343,58.04194793178138,88.28828828828829
AH_req,11.0,291.0681818181818,110.0491987084124,147.25,236.375,273.75,316.875,560.25
AH_req/netD,20.0,25.0,0.0,25.0,25.0,25.0,25.0,25.0
AR_set,11.0,348.0,0.0,348.0,348.0,348.0,348.0,348.0
netD_set,11.0,1147.2727272727273,146.2252310027862,1020.0,1020.0,1020.0,1300.0,1300.0
TAD_deficit,11.0,-40.0,90.03999111505954,-185.0,-116.0,-19.0,39.0,66.0
netD_deficit,11.0,17.0,417.3528483190213,-711.0,-188.0,-41.0,144.0,941.0
TAD_deficit_a,11.0,16.931818181818183,154.98395444807707,-361.25,-44.75,56.75,129.25,169.25
SH_Total,20.0,21372.85,707.2000591658704,20143.0,20757.5,21611.0,22023.5,22124.0
D_Total,20.0,137276.75,5468.792456677299,130324.0,132287.25,136379.5,141199.5,148218.0
